1,1_2_3_,John Johnson,10,2017-02-12,EXECUTED
2,4_5_,Steve Stevenson,10,2017-02-12,EXECUTED
3,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
4,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
5,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
6,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
7,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
8,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
9,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
10,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
11,1_2_3_,John Johnson,10,2015-01-01,ACTIVE
12,8_7_9_6_,Jackie Chan,1,2016-02-15,ACTIVE
13,8_7_9_6_,Jackie Chan,8,2016-02-15,ACTIVE
